target,fold,seed,logloss,mean,std
S4,3,9999,0.6281218168051446,0.6108093065269743,0.02600489841761146
S4,4,9999,0.6000946822352858,0.6108093065269743,0.02600489841761146
S4,0,7,0.566744903862934,0.6108093065269743,0.02600489841761146
S4,1,7,0.6242499563408969,0.6108093065269743,0.02600489841761146
S4,2,7,0.611025421183644,0.6108093065269743,0.02600489841761146
S4,3,7,0.613888935346308,0.6108093065269743,0.02600489841761146
S4,4,7,0.6381373159010886,0.6108093065269743,0.02600489841761146
S4,0,314,0.635167642451651,0.6108093065269743,0.02600489841761146
S4,1,314,0.5954282574933369,0.6108093065269743,0.02600489841761146
S4,2,314,0.5935726250665581,0.6108093065269743,0.02600489841761146
S4,3,314,0.6066813280362909,0.6108093065269743,0.02600489841761146
S4,4,314,0.6231966795870342,0.6108093065269743,0.02600489841761146
S4,0,2025,0.5990092850009112,0.6108093065269743,0.02600489841761146
S4,1,2025,0.6493435192166715,0.6108093065269743,0.02600489841761146
S4,2,2025,0.6014912325875135,0.6108093065269743,0.02600489841761146
S4,3,2025,0.6113197541640762,0.6108093065269743,0.02600489841761146
S4,4,2025,0.5928827416656987,0.6108093065269743,0.02600489841761146
S4,0,777,0.6211458261335469,0.6108093065269743,0.02600489841761146
S4,1,777,0.6130058271012667,0.6108093065269743,0.02600489841761146
S4,2,777,0.5907844026685947,0.6108093065269743,0.02600489841761146
S4,3,777,0.6727439892119412,0.6108093065269743,0.02600489841761146
S4,4,777,0.5563664875195216,0.6108093065269743,0.02600489841761146
S4,0,555,0.5731068715374353,0.6108093065269743,0.02600489841761146
S4,1,555,0.6223417775880832,0.6108093065269743,0.02600489841761146
S4,2,555,0.6440195066357557,0.6108093065269743,0.02600489841761146
S4,3,555,0.6211973664427649,0.6108093065269743,0.02600489841761146
S4,4,555,0.5933810104308319,0.6108093065269743,0.02600489841761146
